id	object_type	marketing_type	is_valid	price_euro	size_sqm	size_category	price_per_sqm	listings_per_1k_bundesland	listings_per_1k_city	density_city	density_land	population_land	zip	city	bundesland	short_name	country	rooms	floor	free	cold_hot_rent	predicted_price_per_sqm	predicted_price	gap	ratio	MAE	RMSE	bias	price_category
1	Wohnung	zur Miete	True	1300	70	medium	18,57142857	1438,91378	34,47507497	4263,950118	297,4465919	6280793	60486	Frankfurt am Main	Hessen	HE	Germany	3	2	01.05.2026	Kaltmiete	25,00397461	1750,278223	6,432546039	0,346367864	3,105079894	4,843472568	-0,156819158	Underpriced
2	Wohnung	zur Miete	True	990	80	medium	12,375	1984,193403	3,055141717	1636,585293	528,6783023	18034454	53721	Siegburg	Nordrhein-Westfalen	NW	Germany	2	1	sofort	Kaltmiete	10,50719542	840,5756337	-1,867804579	-0,150933703	3,105079894	4,843472568	-0,156819158	Fair Price
3	Wohnung	zur Miete	True	415	68,4	medium	6,067251462	3108,832481		778,994764	103,8975249	2135597	6844	Dessau-Roßlau	Sachsen-Anhalt	ST	Germany	2	2	sofort	Kaltmiete	7,402137827	506,3062274	1,334886365	0,220015006	3,105079894	4,843472568	-0,156819158	Underpriced
4	Wohnung	zur Miete	True	338	52	medium	6,5	3108,832481		370,31912	103,8975249	2135597	6842	Dessau-Roßlau	Sachsen-Anhalt	ST	Germany	2	3	sofort	Kaltmiete	7,850564811	408,2293702	1,350564811	0,207779202	3,105079894	4,843472568	-0,156819158	Underpriced
5	Wohnung	zur Miete	True	990	90	medium	11	2546,173175	5,442649989	2021,074297	314,5897568	11245898	89518	Heidenheim an der Brenz	Baden-Württemberg	BW	Germany	3	3		Kaltmiete	13,13204533	1181,88408	2,132045333	0,193822303	3,105079894	4,843472568	-0,156819158	Fair Price
6	Wohnung	zur Miete	True	1430	130,6	large	10,94946401	8566,836669		367,7473499	187,8172845	13248928	63762	Großostheim	Bayern	BY	Germany	4	1	01.04.2026	Kaltmiete	11,02370612	1439,696019	0,074242103	0,006780433	3,105079894	4,843472568	-0,156819158	Fair Price
7	Wohnung	zum Kauf	True	380500	60,9	medium	6247,947455						92318	Neumarkt in der Oberpfalz			Germany	2			6.249 €/m²	5760,630296	350822,385	-487,3171588	-0,07799636	890,5246542	1575,834608	-42,99880828	Fair Price
8	Wohnung	zum Kauf	True	570800	95,9	medium	5952,033368						92318	Neumarkt in der Oberpfalz			Germany	4			5.950 €/m²	6140,931622	588915,3426	188,8982543	0,03173676	890,5246542	1575,834608	-42,99880828	Fair Price
9	Wohnung	zur Miete	True	440	46	small	9,565217391	2546,173175		155,4309752	314,5897568	11245898	89551	Königsbronn	Baden-Württemberg	BW	Germany	2	2	01.07.2026	Kaltmiete	10,03270795	461,5045656	0,467490556	0,048874013	3,105079894	4,843472568	-0,156819158	Fair Price
10	Wohnung	zur Miete	True	1000	82	medium	12,19512195	8566,836669		395,9693507	187,8172845	13248928	91522	Ansbach	Bayern	BY	Germany	2,5	1	sofort	Kaltmiete	13,21960078	1084,007264	1,024478824	0,084007264	3,105079894	4,843472568	-0,156819158	Fair Price
11	Studio	zur Miete	True	459	54	medium	8,5	3108,832481	41,44968995	3088,081	103,8975249	2135597	39104	Magdeburg	Sachsen-Anhalt	ST	Germany	1	3	sofort	Kaltmiete	10,53728655	569,013474	2,037286555	0,239680771	3,105079894	4,843472568	-0,156819158	Underpriced
12	Wohnung	zur Miete	True	903	64,5	medium	14	2324,549849	4,403926872	5903,82192	167,7744188	8004489	38118	Braunschweig	Niedersachsen	NI	Germany	2	EG	sofort	Kaltmiete	10,59892908	683,6309255	-3,401070923	-0,242933637	3,105079894	4,843472568	-0,156819158	Overpriced
13	Wohnung	zur Miete	True	620	64	medium	9,6875	1984,193403	3,850460739	3376,219336	528,6783023	18034454	51379	Leverkusen	Nordrhein-Westfalen	NW	Germany	2	3	sofort	Kaltmiete	10,2250678	654,4043393	0,537567801	0,05549087	3,105079894	4,843472568	-0,156819158	Fair Price
14	Wohnung	zur Miete	True	414	60,9	medium	6,798029557	5729,657052		165,4899677	86,21807474	2556747	15890	Eisenhüttenstadt	Brandenburg	BB	Germany	3	3		Kaltmiete	7,639638085	465,2539593	0,841608528	0,123801834	3,105079894	4,843472568	-0,156819158	Fair Price
45	Wohnung	zum Kauf	True	486545	92,4	medium	5265,638528	8566,836669		715,8071365	187,8172845	13248928	90455	Nürnberg	Bayern	BY	Germany	4	2	sofort	5.265 €/m²	7783,640762	719208,4065	2518,002234	0,478195041	890,5246542	1575,834608	-42,99880828	Underpriced
46	Maisonette	zur Miete	True	1182	126	large	9,380952381	359,5658494	306,5083374	5670,318839	4135,542912	3685265	12249	Berlin	Berlin	BE	Germany	2	EG	01.05.2026	Kaltmiete	11,33623482	1428,365587	1,955282438	0,208431123	3,105079894	4,843472568	-0,156819158	Underpriced
47	Reihenmittelhaus	zur Miete	True	1709	133,7	large	12,78234854	11,31944257	6,101451234	3114,013252	1678,527885	704881	28239	Bremen	Bremen	HB	Germany	5		01.06.2026	Kaltmiete	10,35311089	1384,210926	-2,42923765	-0,190046269	3,105079894	4,843472568	-0,156819158	Fair Price
48	Wohnung	zur Miete	True	559	74	medium	7,554054054	1984,193403		873,9470589	528,6783023	18034454	45770	Marl	Nordrhein-Westfalen	NW	Germany	3,5	4	01.05.2026	Kaltmiete	7,865680881	582,0603852	0,311626827	0,041252925	3,105079894	4,843472568	-0,156819158	Fair Price
616	Wohnung	zum Kauf	True	603000	94,5	medium	6380,952381	1984,193403	18,32725143	1091,271109	528,6783023	18034454	52072	Aachen	Nordrhein-Westfalen	NW	Germany	3	EG		6.380 €/m²	6182,673156	584262,6133	-198,2792248	-0,03107361	890,5246542	1575,834608	-42,99880828	Fair Price
