plz;ort;zusatz;bundesland
1067;Dresden;;Sachsen
1069;Dresden;;Sachsen
1097;Dresden;;Sachsen
1099;Dresden;;Sachsen
1108;Dresden;;Sachsen
1109;Dresden;;Sachsen
1127;Dresden;;Sachsen
1129;Dresden;;Sachsen
1139;Dresden;;Sachsen
1156;Dresden;;Sachsen
1157;Dresden;;Sachsen
1159;Dresden;;Sachsen
1169;Dresden;;Sachsen
1187;Dresden;;Sachsen
1189;Dresden;;Sachsen
1217;Dresden;;Sachsen
1219;Dresden;;Sachsen
1237;Dresden;;Sachsen
1239;Dresden;;Sachsen
1257;Dresden;;Sachsen
1259;Dresden;;Sachsen
1277;Dresden;;Sachsen
1279;Dresden;;Sachsen
1307;Dresden;;Sachsen
1309;Dresden;;Sachsen
1324;Dresden;;Sachsen
1326;Dresden;;Sachsen
1328;Dresden;;Sachsen
1445;Radebeul;;Sachsen
1454;Wachau;bei Radeberg;Sachsen
1454;Radeberg;Sachsen;Sachsen
1458;Ottendorf-Okrilla;;Sachsen
1465;Schönborn;bei Dresden;Sachsen
1465;Langebrück;;Sachsen
56291;Thörlingen;;Rheinland-Pfalz
56291;Utzenhain;;Rheinland-Pfalz
56294;Gappenach;;Rheinland-Pfalz
56294;Gierschnach;;Rheinland-Pfalz
56294;Kalt;;Rheinland-Pfalz
56294;Münstermaifeld;;Rheinland-Pfalz
56294;Wierschem;;Rheinland-Pfalz
56295;Kerben;;Rheinland-Pfalz
56295;Lonnig;;Rheinland-Pfalz
56295;Rüber;;Rheinland-Pfalz
56299;Ochtendung;;Rheinland-Pfalz
82390;Eberfing;;Bayern
82392;Habach;Oberbayern;Bayern
82393;Iffeldorf;;Bayern
82395;Obersöchering;;Bayern
82396;Pähl;;Bayern
82398;Polling;Kreis Weilheim-Schongau;Bayern
82399;Raisting;Oberbayern;Bayern
82401;Rottenbuch;Oberbayern;Bayern
82402;Seeshaupt;;Bayern
82404;Sindelsdorf;;Bayern
82405;Wessobrunn;;Bayern
82407;Wielenbach;;Bayern
82409;Wildsteig;;Bayern
82418;Hofheim;Gemeinde Spatzenhausen;Bayern
82418;Murnau a. Staffelsee;;Bayern
82418;Riegsee;;Bayern
82418;Seehausen a. Staffelsee;;Bayern
82431;Kochel a. See;;Bayern
82432;Obernach;Oberbayern;Bayern
82432;Urfeld;Oberbayern;Bayern
82432;Walchensee;Oberbayern;Bayern
82432;Herzogstand;;Bayern
82432;Zwergern;;Bayern
82433;Bad Kohlgrub;;Bayern
82435;Bad Bayersoien;;Bayern
82436;Eglfing;Oberbayern;Bayern
82438;Eschenlohe;Loisach;Bayern
82439;Kreut;Gemeinde Schlehdorf;Bayern
82439;Großweil;;Bayern
82441;Ohlstadt;;Bayern
82442;Saulgrub;;Bayern
82444;Schlehdorf;;Bayern
82445;Schwaigen;Oberbayern;Bayern
82447;Spatzenhausen;;Bayern
82449;Uffing a. Staffelsee;;Bayern
82467;Garmisch-Partenkirchen;;Bayern
82467;Plattele;;Bayern
82475;Schneefernerhaus;;Bayern
82481;Mittenwald;;Bayern
82487;Oberammergau;;Bayern
82488;Ettal;;Bayern
82490;Farchant;;Bayern
82491;Grainau;;Bayern
82493;Elmau;;Bayern
82493;Gerold;;Bayern
82493;Klais;;Bayern
82493;Kranzbach;;Bayern
82494;Krün;;Bayern
82496;Oberau;Loisach;Bayern
82497;Unterammergau;;Bayern
82499;Wallgau;;Bayern
82515;Wolfratshausen;;Bayern
82538;Geretsried;;Bayern
82541;Münsing;Starnberger See;Bayern
82544;Egling;bei Wolfratshausen;Bayern
99887;Georgenthal;/Thüringer Wald;Thüringen
99887;Herrenhof;bei Gotha, Thüringen;Thüringen
99891;Bad Tabarz;Thüringer Wald;Thüringen
99894;Friedrichroda;;Thüringen
99897;Tambach-Dietharz;Thüringer Wald;Thüringen
99947;Sundhausen;bei Bad Langensalza;Thüringen
99947;Bad Langensalza;;Thüringen
99947;Kirchheilingen;;Thüringen
99947;Schönstedt;;Thüringen
99947;Tottleben;;Thüringen
99955;Ballhausen;bei Bad Tennstedt;Thüringen
99955;Blankenburg;Thüringen;Thüringen
99955;Bad Tennstedt;;Thüringen
99955;Bruchstedt;;Thüringen
99955;Haussömmern;;Thüringen
99955;Herbsleben;;Thüringen
99955;Hornsömmern;;Thüringen
99955;Kutzleben;;Thüringen
99955;Mittelsömmern;;Thüringen
99955;Urleben;;Thüringen
99958;Großvargula;;Thüringen
99958;Tonna;;Thüringen
99974;Mühlhausen/Thüringen;;Thüringen
99976;Anrode;Thüringen;Thüringen
99976;Dünwald;;Thüringen
99976;Faulungen;;Thüringen
99976;Hildebrandshausen;;Thüringen
99976;Lengenfeld unterm Stein;;Thüringen
99976;Rodeberg;;Thüringen
99986;Kammerforst;bei Mühlhausen, Thüringen;Thüringen
99986;Oppershausen;Thüringen;Thüringen
99986;Langula;;Thüringen
99986;Niederdorla;;Thüringen
99986;Oberdorla;;Thüringen
99988;Diedorf;bei Mühlhausen, Thüringen;Thüringen
99988;Heyerode;Thüringen;Thüringen
99988;Schierschwende;;Thüringen
99988;Wendehausen;;Thüringen
99991;Unstrut-Hainich;;Thüringen
99994;Marolterode;;Thüringen
99994;Nottertal-Heilinger Höhen;;Thüringen
99996;Unstruttal;;Thüringen
99998;Körner;;Thüringen
99998;Mühlhausen/Thüringen;;Thüringen
