title;price_raw;size_raw;rooms_raw;floor_raw;free_raw;post;cold_hot_rent;additional_details
Wohnung zur Miete · Tauschwohnung;750 €;87 m²;3 Zimmer;3. Geschoss;;12435;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;1.200 €;125 m²;4 Zimmer;EG;;12557;Kaltmiete;
Wohnung zum Kauf - Neubau · provisionsfrei;645.000 €;93,1 m²;3 Zimmer;EG;;13086;6.932 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;539.000 €;76,6 m²;3 Zimmer;EG;;13086;7.037 €/m²;
Penthouse zum Kauf - Neubau · provisionsfrei;489.000 €;61,7 m²;2 Zimmer;4. Geschoss;;13086;7.923 €/m²;
Wohnung zur Miete;1.658 €;63,8 m²;2 Zimmer;5 Geschosse;frei ab sofort;10557;Kaltmiete;
Wohnung zur Miete;1.729 €;91 m²;3 Zimmer;EG;;12527;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;750 €;59 m²;2 Zimmer;3. Geschoss;;13359;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;949 €;85 m²;4 Zimmer;1. Geschoss;;13156;Kaltmiete;
Wohnung zum Kauf - Neubau;335.000 €;46,8 m²;2 Zimmer;EG;;14469;7.144 €/m²;
Wohnung zur Miete · Tauschwohnung;751 €;100 m²;3 Zimmer;3. Geschoss;;12489;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;680 €;54 m²;2,5 Zimmer;5. Geschoss;;10715;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;760 €;120 m²;3 Zimmer;2. Geschoss;;12051;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;650 €;72 m²;3 Zimmer;EG;;13053;Kaltmiete;
Wohnung zum Kauf - Neubau · provisionsfrei;189.000 €;37,1 m²;1,5 Zimmer;2. Geschoss;;10713;5.101 €/m²;
Studio zum Kauf - Neubau · provisionsfrei;240.000 €;35,2 m²;1 Zimmer;3. Geschoss;frei ab 31.12.2026;10318;6.822 €/m²;
Wohnung zur Miete · Tauschwohnung;900 €;65 m²;2 Zimmer;1. Geschoss;;12489;Kaltmiete;
Studio zur Miete · Tauschwohnung;400 €;35 m²;1 Zimmer;3. Geschoss;;10249;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;403 €;60 m²;2 Zimmer;EG;;12249;Kaltmiete;
Wohnung zur Miete;3.576 €;149 m²;3 Zimmer;1. Geschoss;frei ab sofort;10117;Kaltmiete;
Wohnung zum Kauf - Neubau · provisionsfrei;949.500 €;91,2 m²;3 Zimmer;6. Geschoss;;13189;10.407 €/m²;
Wohnung zur Miete - Erstbezug;2.100 €;93,1 m²;3 Zimmer;1. Geschoss;frei ab 01.05.2026;13357;Kaltmiete;
Penthouse zur Miete - Erstbezug;1.720 €;67,4 m²;2 Zimmer;4. Geschoss;frei ab 15.05.2026;13357;Kaltmiete;
Penthouse zum Kauf - Neubau;899.000 €;113 m²;3 Zimmer;3. Geschoss;frei ab sofort;14469;7.954 €/m²;
Terrassenwohnung zur Miete;1.280 €;103,2 m²;3 Zimmer;EG;;12559;Kaltmiete;
Wohnung zur Miete;1.460 €;99 m²;3 Zimmer;2. Geschoss;frei ab 01.05.2026;12557;Kaltmiete;
